name,location,price,area_type,area,bhk
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.48 Cr,Super Built-up Area,"1,974 sqft
(183 sqm)","3 BHK
(3 Baths)"
,,,,,
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.58 Cr,Super Built-up Area,"2,106 sqft
(196 sqm)","3 BHK
(4 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹42.6 Lac,Super Built-up Area,"476 sqft
(44 sqm)","2 BHK
(2 Baths)"
"HCBS Sports Ville
3.5","2 BHK Flat in Sohna, Gurgaon",₹41 Lac,Carpet Area,"520 sqft
(48 sqm)","2 BHK
(2 Baths)"
"HCBS Sports Ville
3.5","2 BHK Flat in Sohna, Gurgaon",₹43 Lac,Carpet Area,"519 sqft
(48 sqm)","2 BHK
(2 Baths)"
"HCBS Sports Ville
3.5","2 BHK Flat in Sohna, Gurgaon",₹41 Lac,Carpet Area,"519 sqft
(48 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹42.5 Lac,Super Built-up Area,"476 sqft
(44 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹41 Lac,Carpet Area,"480 sqft
(45 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹43 Lac,Carpet Area,"468 sqft
(43 sqm)","2 BHK
(2 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.58 Cr,Super Built-up Area,"2,106 sqft
(196 sqm)","3 BHK
(3 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.55 Cr,Super Built-up Area,"1,974 sqft
(183 sqm)","3 BHK
(4 Baths)"
"Imperia The Esfera
3.9","3 BHK Flat in Sector 37C, Gurgaon",₹1.56 Cr,Super Built-up Area,"2,035 sqft
(189 sqm)","3 BHK
(4 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹41.5 Lac,Carpet Area,"480 sqft
(45 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹40.5 Lac,Carpet Area,"480 sqft
(45 sqm)","2 BHK
(2 Baths)"
"GLS Arawali Homes
3.7","2 BHK Flat in Sohna, Gurgaon",₹41 Lac,Carpet Area,"480 sqft
(45 sqm)","2 BHK
(2 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.55 Cr,Built-up Area,"1,974 sqft
(183 sqm)","3 BHK
(4 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.54 Cr,Super Built-up Area,"1,974 sqft
(183 sqm)","3 BHK
(3 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.58 Cr,Super Built-up Area,"2,106 sqft
(196 sqm)","3 BHK
(4 Baths)"
"Imperia The Esfera
3.9","3 BHK Flat in Sector 37C, Gurgaon",₹1.58 Cr,Super Built-up Area,"2,035 sqft
(189 sqm)","3 BHK
(5 Baths)"
"Imperia The Esfera
3.9","3 BHK Flat in Sector 37C, Gurgaon",₹1.58 Cr,Super Built-up Area,"2,035 sqft
(189 sqm)","3 BHK
(4 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.22 Cr,Super Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.5 Cr,Super Built-up Area,"1,974 sqft
(183 sqm)","3 BHK
(3 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.55 Cr,Built-up Area,"1,974 sqft
(183 sqm)","3 BHK
(4 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.58 Cr,Super Built-up Area,"2,106 sqft
(196 sqm)","3 BHK
(4 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.25 Cr,Super Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.24 Cr,Super Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
Sare Homes,"3 BHK Flat in Sector 92, Gurgaon",₹1.23 Cr,Built-up Area,"1,326 sqft
(123 sqm)","3 BHK
(2 Baths)"
